Date,County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Last_Update,Latitude,Longitude,New_Death
2020-03-14,Stanislaus,California,2,,0,0.0,2020-03-14 12:04 EDT,37.55932620000001,-120.9976619,
2020-03-14,Tulare,California,2,,0,0.0,2020-03-14 12:04 EDT,36.20649,-119.34305,
2020-03-14,Imperial,California,2,,0,0.0,2020-03-14 12:04 EDT,32.84748,-115.56952,
2020-03-14,Humboldt,California,1,,0,0.0,2020-03-14 12:04 EDT,40.698798,-123.87371470000001,
2020-03-14,Sonoma,California,1,,0,0.0,2020-03-14 12:04 EDT,38.29188,-122.45728000000001,
2020-03-14,Unassigned,California,1,,0,0.0,2020-03-14 12:04 EDT,,,
2020-03-14,Madera,California,1,,0,0.0,2020-03-14 12:04 EDT,36.96205,-120.06398999999999,
2020-03-14,Fresno,California,1,,0,0.0,2020-03-14 12:04 EDT,36.740840000000006,-119.78551999999999,
2020-03-14,Shasta,California,1,,0,0.0,2020-03-14 12:04 EDT,40.598279999999995,-122.49095,
2020-03-14,Middlesex,Massachusetts,60,,0,0.0,2020-03-14 12:04 EDT,42.4855941,-71.3917913,
2020-03-14,Suffolk,Massachusetts,26,,0,0.0,2020-03-14 12:04 EDT,42.331891600000006,-71.07537430000001,
2020-03-14,Norfolk,Massachusetts,24,,0,0.0,2020-03-14 12:04 EDT,42.119409999999995,-71.33083,
2020-03-14,Berkshire,Massachusetts,9,,0,0.0,2020-03-14 12:04 EDT,42.51105,-73.19426,
2020-03-14,Worcester,Massachusetts,2,,0,0.0,2020-03-14 12:04 EDT,42.26341,-71.80219,
2020-03-14,Essex,Massachusetts,2,,0,0.0,2020-03-14 12:04 EDT,42.632509999999996,-70.78113,
2020-03-14,Eagle,Colorado,16,,0,0.0,2020-03-14 12:04 EDT,39.65565,-106.82788000000001,
2020-03-14,Denver,Colorado,15,,0,0.0,2020-03-14 12:04 EDT,39.74001,-104.99202,
2020-03-14,Pitkin,Colorado,10,,0,0.0,2020-03-14 12:04 EDT,39.217125200000005,-106.9167355,
2020-03-14,Arapahoe,Colorado,7,,0,0.0,2020-03-14 12:04 EDT,39.6497672,-104.33920440000001,
2020-03-14,Jefferson,Colorado,7,,0,0.0,2020-03-14 12:04 EDT,39.5864316,-105.25040220000001,
2020-03-14,Douglas,Colorado,4,,0,0.0,2020-03-14 12:04 EDT,39.3296664,-104.9295706,
2020-03-14,Gunnison,Colorado,4,,0,0.0,2020-03-14 12:04 EDT,38.54526,-106.92692,
2020-03-14,Adams,Colorado,3,,0,0.0,2020-03-14 12:04 EDT,39.8737591,-104.3366349,
2020-03-14,Summit,Colorado,2,,0,0.0,2020-03-14 12:04 EDT,39.6341694,-106.1163607,
2020-03-14,El Paso,Colorado,2,,1,0.5,2020-03-14 12:04 EDT,38.8321269,-104.5255141,
2020-03-14,Unassigned,Colorado,2,,0,0.0,2020-03-14 12:04 EDT,39.059810999999996,-105.311104,
2020-03-14,Weld,Colorado,2,,0,0.0,2020-03-14 12:04 EDT,40.5547727,-104.3924353,
2020-03-14,Larimer,Colorado,1,,0,0.0,2020-03-14 12:04 EDT,40.666452500000005,-105.46093629999999,
2020-03-14,Pueblo,Colorado,1,,0,0.0,2020-03-14 12:04 EDT,38.26375,-104.61251999999999,
2020-03-14,Routt,Colorado,1,,0,0.0,2020-03-14 12:04 EDT,40.484997899999996,-106.9912189,
2020-03-14,Broward,Florida,19,,0,0.0,2020-03-14 12:04 EDT,26.152245399999998,-80.48705340000001,
2020-03-14,Miami-Dade,Florida,8,,0,0.0,2020-03-14 12:04 EDT,25.614182100000004,-80.5679083,
2020-03-14,Unassigned,Florida,5,,0,0.0,2020-03-14 12:04 EDT,27.766278999999997,-81.68678299999999,
2020-03-14,Palm Beach,Florida,5,,0,0.0,2020-03-14 12:04 EDT,26.70288,-80.03661,
2020-03-14,Manatee,Florida,4,,0,0.0,2020-03-14 12:04 EDT,27.49643,-82.53954,
2020-03-14,Lee,Florida,4,,1,0.25,2020-03-14 12:04 EDT,26.579651600000002,-81.8246853,
2020-03-14,Volusia,Florida,4,,0,0.0,2020-03-14 12:04 EDT,29.169340000000002,-81.52251,
2020-03-14,Hillsborough,Florida,3,,0,0.0,2020-03-14 12:04 EDT,27.930231,-82.3078553,
2020-03-14,Alachua,Florida,3,,0,0.0,2020-03-14 12:04 EDT,29.793090000000003,-82.49428,
2020-03-14,Collier,Florida,3,,0,0.0,2020-03-14 12:04 EDT,26.116255600000002,-81.3401333,
2020-03-14,Pinellas,Florida,2,,0,0.0,2020-03-14 12:04 EDT,27.9313392,-82.7219403,
2020-03-14,Sarasota,Florida,2,,0,0.0,2020-03-14 12:04 EDT,27.338890000000003,-82.53886999999999,
2020-03-14,Orange,Florida,2,,1,0.5,2020-03-14 12:04 EDT,41.33141,-74.35667,
2020-03-14,Santa Rosa,Florida,1,,1,1.0,2020-03-14 12:04 EDT,30.7314761,-87.01761390000001,
2020-03-14,Charlotte,Florida,1,,0,0.0,2020-03-14 12:04 EDT,26.908483299999997,-81.9034392,
2020-03-14,Okaloosa,Florida,1,,0,0.0,2020-03-14 12:04 EDT,30.7070235,-86.5965082,
2020-03-14,Nassau,Florida,1,,0,0.0,2020-03-14 12:04 EDT,30.6107767,-81.80174,
2020-03-14,Pasco,Florida,1,,0,0.0,2020-03-14 12:04 EDT,28.32453,-82.33624,
2020-03-14,St. Johns,Florida,1,,0,0.0,2020-03-14 12:04 EDT,30.120509999999996,-81.62536,
2020-03-14,Seminole,Florida,1,,0,0.0,2020-03-14 12:04 EDT,28.717001399999997,-81.2363226,
2020-03-14,Duval,Florida,1,,0,0.0,2020-03-14 12:04 EDT,30.478440000000003,-81.62557,
2020-03-14,Clay,Florida,1,,0,0.0,2020-03-14 12:04 EDT,29.983055199999995,-81.8577821,
2020-03-14,Osceola,Florida,1,,0,0.0,2020-03-14 12:04 EDT,28.068125800000004,-81.1451965,
2020-03-14,Unassigned,Georgia,22,,0,0.0,2020-03-14 12:04 EDT,33.040619,-83.643074,
2020-03-14,Fulton,Georgia,8,,0,0.0,2020-03-14 12:04 EDT,33.7902407,-84.46710999999999,
2020-03-14,Cobb,Georgia,8,,1,0.125,2020-03-14 12:04 EDT,33.9414802,-84.57663740000001,
2020-03-14,DeKalb,Georgia,5,,0,0.0,2020-03-14 12:04 EDT,33.7715373,-84.22646529999999,
2020-03-14,Bartow,Georgia,4,,0,0.0,2020-03-14 12:04 EDT,34.237644,-84.84072940000001,
2020-03-14,Floyd,Georgia,3,,0,0.0,2020-03-14 12:04 EDT,34.2632424,-85.2145276,
2020-03-14,Fayette,Georgia,3,,0,0.0,2020-03-14 12:04 EDT,33.413909100000005,-84.4942725,
2020-03-14,Gwinnett,Georgia,2,,0,0.0,2020-03-14 12:04 EDT,33.961188799999995,-84.0235873,
2020-03-14,Gordon,Georgia,2,,0,0.0,2020-03-14 12:04 EDT,34.5031965,-84.8758788,
2020-03-14,Polk,Georgia,1,,0,0.0,2020-03-14 12:04 EDT,34.0016881,-85.18810970000001,
2020-03-14,Cherokee,Georgia,1,,0,0.0,2020-03-14 12:04 EDT,34.24398970000001,-84.4762441,
2020-03-14,Charlton,Georgia,1,,0,0.0,2020-03-14 12:04 EDT,30.7817109,-82.1377648,
2020-03-14,Lowndes,Georgia,1,,0,0.0,2020-03-14 12:04 EDT,30.8336283,-83.2676955,
2020-03-14,Lee,Georgia,1,,0,0.0,2020-03-14 12:04 EDT,31.7795972,-84.1408802,
2020-03-14,Camden,Georgia,1,,0,0.0,2020-03-14 12:04 EDT,30.932502500000002,-81.67112809999999,
2020-03-14,Coweta,Georgia,1,,0,0.0,2020-03-14 12:04 EDT,33.3536027,-84.76336690000001,
2020-03-14,Orleans,Louisiana,26,,0,0.0,2020-03-14 12:04 EDT,30.0384318,-89.9005515,
2020-03-14,Unassigned,Louisiana,15,,0,0.0,2020-03-14 12:04 EDT,31.169546,-91.867805,
2020-03-14,Jefferson parish,Louisiana,3,,0,0.0,2020-03-14 12:04 EDT,,,
2020-03-14,St. Tammany,Louisiana,2,,0,0.0,2020-03-14 12:04 EDT,30.39408,-89.89506999999999,
2020-03-14,Caddo,Louisiana,1,,0,0.0,2020-03-14 12:04 EDT,32.75632,-93.97374,
2020-03-14,Lafourche Parish,Louisiana,1,,0,0.0,2020-03-14 12:04 EDT,,,
2020-03-14,St. Bernard Parish,Louisiana,1,,0,0.0,2020-03-14 12:04 EDT,,,
2020-03-14,St. Charles Parish,Louisiana,1,,0,0.0,2020-03-14 12:04 EDT,,,
2020-03-14,Terrebonne Parish,Louisiana,1,,0,0.0,2020-03-14 12:04 EDT,,,
2020-03-14,Harris,Texas,10,,0,0.0,2020-03-14 12:04 EDT,29.857628000000002,-95.39311140000001,
2020-03-14,Fort Bend,Texas,9,,0,0.0,2020-03-14 12:04 EDT,29.527452500000003,-95.7706508,
2020-03-14,Dallas,Texas,9,,0,0.0,2020-03-14 12:04 EDT,32.778220000000005,-96.79512,
2020-03-14,Collin,Texas,6,,0,0.0,2020-03-14 12:04 EDT,33.1968,-96.80393000000001,
